French,English,paillettes,glitter
French,English,en rapport à,in relation to
French,English,s'accoupler,to mate
French,English,abruti,fool
French,English,calembour,pun
French,English,périple,journey
French,English,chevaucher,to ride
French,English,tabagisme,smoking
French,English,les cygnes,swans
French,English,il était une fois,once upon a time
French,English,roulement de tambour,drum roll
French,English,iel,lgbqt neutral pronoun
French,English,saisissant,striking
French,English,on remonte,we turn up
French,English,asperger,to sprinkle
French,English,palpitant,thrilling
French,English,fair gicler,to squirt
French,English,la pension alimentaire,child support
French,English,jumeaux,twins
French,English,maligne,smart
French,English,coéquipiers,teammates
French,English,entortiller,to tangle
French,English,la paternité,fatherhood
French,English,coincé,stuck
French,English,le bord,the edge
French,English,plaquer,to tackle
French,English,les banderoles,the streamers
French,English,un tas de,a bunch of
French,English,prendre au sérieux,to take seriously
French,English,je suis inculte,I am uneducated
French,English,les nichons,tits
French,English,t'as dessoulé un peu?,have you sobered up a bit?
French,English,"croix de bras, croix de fer, si je mens, je vais en enfer","arm cross, iron cross, if I lie, I go to hell"
French,English,en colonie,in summer camp
French,English,être débrouillard,to be resourceful
French,English,se démocratiser,to become popular
French,English,l'écart,the gap
French,English,les stores,the blinds
French,English,le linge,Laundry
French,English,tondre la pelouse,to mow the lawn
French,English,Fais toi dépister,Get tested
French,English,il y a des jours avec et des jours sans,there are good days and bad days
French,English,le moindre doute,the slightest doubt
French,English,mon ego en a pris un coup,my ego took a hit
French,English,consignes,instructions
French,English,ne pas échapper a la règle,to no be an exception
French,English,les tâches,Tasks
French,English,un épingle,a pin
French,English,je suis soûl,i am drunk
French,English,un ralenti,a slow motion
French,English,le ciel est dégagé,the sky is clear
French,English,à perte de vue,as far as the eye can see
French,English,les bulles,bubbles
French,English,la brume,mist
French,English,détendu,relaxed
French,English,il fait frais,it's chilly
French,English,l'eau tiède,warm water
French,English,blasé,jaded
French,English,emblématique,iconic
French,English,se tenir en équilibre,to balance
French,English,les mouches,flies
French,English,télésiège,chair lift
French,English,la gamelle,the bowl
French,English,à la recherche d'un emploi,looking for a job
French,English,piéton,pedestrian
French,English,un carrefour,a crossroad
French,English,le parcours,the course
French,English,faire semblant de,to pretend to
French,English,dans l'âme.,at heart
French,English,avoir l'impression de,to feel like
French,English,il se peut que,it is possible that
French,English,il est en galère d'argent,he is lacking money
French,English,adapté,suitable
French,English,s'occuper de,to take care of
French,English,avoir bien en tête,to have in mind
French,English,jeter un oeil,to take a look
French,English,décompresser,to unwind
French,English,les étoiles filantes,shooting Stars
French,English,habits,clothes
French,English,s'en aller,to go away
French,English,on dirait que,it looks like
French,English,maniaque,fussy
French,English,bordélique,messy
French,English,précédent,previous
French,English,aussi vite,that fast
French,English,s'apprêter à,to get ready to
French,English,nourrir,to feed
French,English,se dérouler,to take place
French,English,tomber en panne,to break down
French,English,faire un voeux,make a wish
French,English,contreparties,rewards
French,English,palais,palace
French,English,je suis au contact de lui,I am in contact with him
French,English,ça me fait du bien,it makes me feel good
French,English,perso,personally
French,English,te gâcher la journée,to ruin your day
French,English,textoter,to text
French,English,Comme vous tous,Like all of you
French,English,savourer,to savour
French,English,où que vous habitiez,wherever you live
French,English,le vertige,dizziness
French,English,on se croirait,It feels like being
French,English,la foule,the crowd
French,English,retour,feedback
French,English,gaufre,waffle
French,English,remuer,to stir
French,English,le poivron,the pepper
French,English,bon visionnage,enjoy watching it
French,English,se faire des amis,to make friends
French,English,à couper le souffle,breathtaking
French,English,se détendre,to relax/chill
French,English,faire des rêves,to have dreams
French,English,croiser des gens,to run into people
French,English,faire la fête,to party
French,English,si ça te tente,if you feel like it
French,English,à tout prix,at all costs
French,English,se recueillir,to recollect yourself
French,English,les merveilles,the wonders
French,English,épanoui,blossoming
French,English,bonnes adresses,good places
French,English,flâner,to stroll
French,English,la tirelire,the piggy bank
French,English,s'achever,to complete
French,English,donner sa langue au chat,to give up
French,English,avoir un chat dans la gorge,to be unable to speak
French,English,il n'y a pas un chat,nobody is here
French,English,paisible,peaceful
French,English,s'entraider,to help each other
French,English,le requin,the shark
French,English,menacer,to threaten
French,English,en moyenne,on average
French,English,la poudre,the powder
French,English,enlever,to remove
French,English,aventurer,to venture
French,English,nuirer á,to harm
French,English,la baignade,swimming
French,English,au bord de,on the edge of
French,English,le sentier,the path
French,English,sur place,on site
French,English,grenouille,frog
French,English,un havre de paix,a haven of peace
French,English,l'étendue,the extent
French,English,raccordement,junction
French,English,détente,relaxation
French,English,s'adonner à,to devote oneself to
French,English,l'essor,growth
French,English,l'essor,the growth
French,English,au niveau de,in terms of
French,English,on est partants,we're up for it
French,English,sans plus tarder,without further ado
French,English,ça se voit que,it shows that
French,English,onctueux,creamy
French,English,écoeuré,sickened
French,English,goûteux,tasty
French,English,faire le point,to focus (camera)
French,English,aléatoire,random
